n = 2470
m = 132
q = 16
ρ = 0.28
format = ((b1, b2, b3, b4, b5, b6, k1, k2), [mq estimator results], bit complexity quantum, memory, bit complexity classical)

((39, 10, 10, 10, 10, 2, 31, 20), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
((39, 10, 10, 10, 10, 2, 30, 21), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
((39, 10, 10, 10, 9, 3, 31, 20), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
((39, 10, 10, 10, 9, 3, 30, 21), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
((39, 10, 10, 10, 8, 4, 31, 20), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
((39, 10, 10, 10, 8, 4, 30, 21), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
((39, 10, 10, 10, 7, 5, 31, 20), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
((39, 10, 10, 10, 7, 5, 30, 21), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
((39, 10, 10, 10, 6, 6, 31, 20), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
((39, 10, 10, 10, 6, 6, 30, 21), [('Crossbred', 34.640634832395776, 20.43363841332154)], 136.6, 20.4, 238.6)
