n = 464
m = 80
q = 16
ρ = 0.14
format = ((b1, b2, b3, b4, b5, b6, b7, b8, k1, k2), [mq estimator results], bit complexity quantum, memory, bit complexity classical)

((16, 2, 2, 2, 2, 2, 2, 2, 36, 14), [('Undefined', 0, 0)], 100.0, 0, 200.0)
((15, 2, 3, 2, 3, 1, 3, 3, 35, 13), [('HybridF5', 13.584962500721156, 6.754887502163468)], 109.6, 6.8, 205.6)
((15, 2, 3, 2, 3, 1, 3, 3, 34, 14), [('HybridF5', 13.584962500721156, 6.754887502163468)], 109.6, 6.8, 205.6)
((15, 2, 3, 2, 2, 3, 3, 2, 35, 13), [('HybridF5', 13.584962500721156, 6.754887502163468)], 109.6, 6.8, 205.6)
((15, 2, 3, 2, 2, 3, 3, 2, 34, 14), [('HybridF5', 13.584962500721156, 6.754887502163468)], 109.6, 6.8, 205.6)
((15, 2, 3, 2, 2, 3, 2, 3, 35, 13), [('HybridF5', 13.584962500721156, 6.754887502163468)], 109.6, 6.8, 205.6)
((15, 2, 3, 2, 2, 3, 2, 3, 34, 14), [('HybridF5', 13.584962500721156, 6.754887502163468)], 109.6, 6.8, 205.6)
((15, 2, 3, 2, 2, 2, 3, 3, 35, 13), [('HybridF5', 13.584962500721156, 6.754887502163468)], 109.6, 6.8, 205.6)
((15, 2, 3, 2, 2, 2, 3, 3, 34, 14), [('HybridF5', 13.584962500721156, 6.754887502163468)], 109.6, 6.8, 205.6)
((15, 2, 3, 2, 1, 3, 3, 3, 35, 13), [('HybridF5', 13.584962500721156, 6.754887502163468)], 109.6, 6.8, 205.6)
