n = 1680
m = 190
q = 7
ρ = 0.09
format = ((b1, b2, b3, b4, k1, k2), [mq estimator results], bit complexity quantum, memory, bit complexity classical)

((34, 11, 11, 11, 108, 15), [('Crossbred', 32.47203443655545, 22.544752236179292), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655)], 204.7, 22.5, 376.9)
((34, 11, 11, 10, 108, 16), [('Crossbred', 29.79873122047002, 15.4241662888181), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 29.375999991956874, 20.018600914042693)], 204.8, 20.6, 378.4)
((34, 11, 10, 11, 108, 16), [('Crossbred', 29.79873122047002, 15.4241662888181), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 29.375999991956874, 20.018600914042693), ('Crossbred', 31.19626009270825, 20.628259516576655)], 204.8, 20.6, 378.4)
((34, 10, 11, 11, 108, 16), [('Crossbred', 29.79873122047002, 15.4241662888181), ('Crossbred', 29.375999991956874, 20.018600914042693), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655)], 204.8, 20.6, 378.4)
((33, 11, 11, 11, 109, 15), [('Crossbred', 29.79873122047002, 15.4241662888181), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655)], 204.8, 20.6, 378.4)
((33, 11, 11, 11, 108, 16), [('Crossbred', 27.031540390818687, 15.4241662888181), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655)], 204.8, 20.6, 378.4)
((33, 11, 11, 11, 107, 17), [('Crossbred', 24.526407243915983, 15.4241662888181), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655), ('Crossbred', 31.19626009270825, 20.628259516576655)], 204.8, 20.6, 378.4)
((35, 10, 10, 10, 108, 17), [('Crossbred', 29.80879619578165, 15.4241662888181), ('Crossbred', 29.375999991956874, 20.018600914042693), ('Crossbred', 29.375999991956874, 20.018600914042693), ('Crossbred', 29.375999991956874, 20.018600914042693)], 204.8, 15.4, 379.8)
((36, 12, 12, 8, 108, 14), [('Crossbred', 34.114372525486004, 23.643669060515016), ('Crossbred', 33.65204392189773, 21.18035111970714), ('Crossbred', 33.65204392189773, 21.18035111970714), ('ExhaustiveSearch', 24.533013346420116, 10.584962500721156)], 204.9, 23.6, 375.7)
((36, 12, 8, 12, 108, 14), [('Crossbred', 34.114372525486004, 23.643669060515016), ('Crossbred', 33.65204392189773, 21.18035111970714), ('ExhaustiveSearch', 24.533013346420116, 10.584962500721156), ('Crossbred', 33.65204392189773, 21.18035111970714)], 204.9, 23.6, 375.7)
