n = 1298
m = 108
q = 16
ρ = 0.22
format = ((b1, b2, b3, b4, k1, k2), [mq estimator results], bit complexity classical, memory, bit complexity quantum)

((42, 22, 3, 1, 37, 3), [('BooleanSolveFXL', 66.61184445947262, 28.67370092962301), ('Crossbred', 66.24744589937745, 46.63293597871962), ('HybridF5', 13.584962500721156, 6.754887502163468), ('Undefined', 0, 0)], 226.6, 28.7, 146.6)
((42, 22, 2, 2, 37, 3), [('BooleanSolveFXL', 66.61184445947262, 28.67370092962301), ('Crossbred', 66.24744589937745, 46.63293597871962), ('Undefined', 0, 0), ('Undefined', 0, 0)], 226.6, 28.7, 146.6)
((42, 22, 1, 3, 37, 3), [('BooleanSolveFXL', 66.61184445947262, 28.67370092962301), ('Crossbred', 66.24744589937745, 46.63293597871962), ('Undefined', 0, 0), ('HybridF5', 13.584962500721156, 6.754887502163468)], 226.6, 28.7, 146.6)
((42, 3, 22, 1, 37, 3), [('BooleanSolveFXL', 66.61184445947262, 28.67370092962301), ('HybridF5', 13.584962500721156, 6.754887502163468), ('Crossbred', 66.24744589937745, 46.63293597871962), ('Undefined', 0, 0)], 226.6, 28.7, 146.6)
((42, 3, 1, 22, 37, 3), [('BooleanSolveFXL', 66.61184445947262, 28.67370092962301), ('HybridF5', 13.584962500721156, 6.754887502163468), ('Undefined', 0, 0), ('Crossbred', 66.24744589937745, 46.63293597871962)], 226.6, 28.7, 146.6)
((42, 2, 22, 2, 37, 3), [('BooleanSolveFXL', 66.61184445947262, 28.67370092962301), ('Undefined', 0, 0), ('Crossbred', 66.24744589937745, 46.63293597871962), ('Undefined', 0, 0)], 226.6, 28.7, 146.6)
((42, 2, 2, 22, 37, 3), [('BooleanSolveFXL', 66.61184445947262, 28.67370092962301), ('Undefined', 0, 0), ('Undefined', 0, 0), ('Crossbred', 66.24744589937745, 46.63293597871962)], 226.6, 28.7, 146.6)
((42, 1, 22, 3, 37, 3), [('BooleanSolveFXL', 66.61184445947262, 28.67370092962301), ('Undefined', 0, 0), ('Crossbred', 66.24744589937745, 46.63293597871962), ('HybridF5', 13.584962500721156, 6.754887502163468)], 226.6, 28.7, 146.6)
((42, 1, 3, 22, 37, 3), [('BooleanSolveFXL', 66.61184445947262, 28.67370092962301), ('Undefined', 0, 0), ('HybridF5', 13.584962500721156, 6.754887502163468), ('Crossbred', 66.24744589937745, 46.63293597871962)], 226.6, 28.7, 146.6)
((43, 2, 1, 23, 37, 2), [('BooleanSolveFXL', 72.90050873146515, 31.748482026631567), ('Undefined', 0, 0), ('Undefined', 0, 0), ('Crossbred', 70.00628019945596, 51.22128649952766)], 228.9, 31.7, 150.9)
