n = 1298
m = 108
q = 16
ρ = 0.22
format = ((b1, b2, b3, b4, b5, b6, b7, b8, k1, k2), [mq estimator results], bit complexity classical, memory, bit complexity quantum)

((27, 5, 5, 5, 5, 5, 4, 1, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('ExhaustiveSearch', 18.0, 8.0), ('Undefined', 0, 0)], 227.4, 13.1, 125.4)
((27, 5, 5, 5, 5, 5, 1, 4, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0), ('ExhaustiveSearch', 18.0, 8.0)], 227.4, 13.1, 125.4)
((27, 5, 5, 5, 5, 4, 5, 1, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('ExhaustiveSearch', 18.0, 8.0), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0)], 227.4, 13.1, 125.4)
((27, 5, 5, 5, 5, 4, 1, 5, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('ExhaustiveSearch', 18.0, 8.0), ('Undefined', 0, 0), ('Crossbred', 22.16320593714337, 14.683213954934427)], 227.4, 13.1, 125.4)
((27, 5, 5, 5, 5, 1, 5, 4, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0), ('Crossbred', 22.16320593714337, 14.683213954934427), ('ExhaustiveSearch', 18.0, 8.0)], 227.4, 13.1, 125.4)
((27, 5, 5, 5, 5, 1, 4, 5, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0), ('ExhaustiveSearch', 18.0, 8.0), ('Crossbred', 22.16320593714337, 14.683213954934427)], 227.4, 13.1, 125.4)
((27, 5, 5, 5, 4, 5, 5, 1, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('ExhaustiveSearch', 18.0, 8.0), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0)], 227.4, 13.1, 125.4)
((27, 5, 5, 5, 4, 5, 1, 5, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('ExhaustiveSearch', 18.0, 8.0), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0), ('Crossbred', 22.16320593714337, 14.683213954934427)], 227.4, 13.1, 125.4)
((27, 5, 5, 5, 4, 1, 5, 5, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('ExhaustiveSearch', 18.0, 8.0), ('Undefined', 0, 0), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427)], 227.4, 13.1, 125.4)
((27, 5, 5, 5, 1, 5, 5, 4, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('ExhaustiveSearch', 18.0, 8.0)], 227.4, 13.1, 125.4)
