n = 1298
m = 108
q = 16
ρ = 0.22
format = ((b1, b2, b3, b4, b5, b6, k1, k2), [mq estimator results], bit complexity quantum, memory, bit complexity classical)

((27, 6, 6, 6, 6, 6, 34, 17), [('Crossbred', 23.363179130359992, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248)], 126.2, 12.2, 228.2)
((28, 6, 6, 6, 6, 4, 34, 18), [('Crossbred', 23.38511179583463, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('ExhaustiveSearch', 18.0, 8.0)], 128.2, 12.2, 232.2)
((28, 6, 6, 6, 5, 5, 34, 18), [('Crossbred', 23.38511179583463, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427)], 128.2, 12.2, 232.2)
((28, 6, 6, 6, 4, 6, 34, 18), [('Crossbred', 23.38511179583463, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('ExhaustiveSearch', 18.0, 8.0), ('Crossbred', 24.22877154567985, 12.194756854422248)], 128.2, 12.2, 232.2)
((28, 6, 6, 5, 6, 5, 34, 18), [('Crossbred', 23.38511179583463, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427)], 128.2, 12.2, 232.2)
((28, 6, 6, 5, 5, 6, 34, 18), [('Crossbred', 23.38511179583463, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 24.22877154567985, 12.194756854422248)], 128.2, 12.2, 232.2)
((28, 6, 6, 4, 6, 6, 34, 18), [('Crossbred', 23.38511179583463, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('ExhaustiveSearch', 18.0, 8.0), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248)], 128.2, 12.2, 232.2)
((28, 6, 5, 6, 6, 5, 34, 18), [('Crossbred', 23.38511179583463, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427)], 128.2, 12.2, 232.2)
((28, 6, 5, 6, 5, 6, 34, 18), [('Crossbred', 23.38511179583463, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 24.22877154567985, 12.194756854422248)], 128.2, 12.2, 232.2)
((28, 6, 5, 5, 6, 6, 34, 18), [('Crossbred', 23.38511179583463, 13.053247125912426), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248)], 128.2, 12.2, 232.2)
