n = 840
m = 100
q = 7
ρ = 0.17
format = ((b1, b2, b3, b4, k1, k2), [mq estimator results], bit complexity classical, memory, bit complexity quantum)

((27, 11, 10, 1, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
((27, 11, 9, 2, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
((27, 11, 8, 3, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
((27, 11, 3, 8, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
((27, 11, 2, 9, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
((27, 11, 1, 10, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
((27, 10, 11, 1, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
((27, 10, 10, 2, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
((27, 10, 2, 10, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
((27, 10, 1, 11, 43, 8), [('Crossbred', 32.3765381816878, 22.403969776487507)], 175.2, 22.4, 103.79999999999998)
