n = 840
m = 100
q = 7
ρ = 0.17
format = ((b1, b2, b3, b4, b5, b6, b7, b8, k1, k2), [mq estimator results], bit complexity quantum, memory, bit complexity classical)

((23, 2, 2, 2, 2, 2, 2, 2, 42, 21), [('Undefined', 0, 0)], 88.2, 0, 176.4)
((23, 2, 2, 2, 2, 2, 2, 2, 41, 22), [('Undefined', 0, 0)], 88.2, 0, 176.4)
((24, 2, 2, 2, 2, 2, 1, 1, 42, 22), [('Undefined', 0, 0)], 89.6, 0, 179.2)
((24, 2, 2, 2, 2, 1, 2, 1, 42, 22), [('Undefined', 0, 0)], 89.6, 0, 179.2)
((24, 2, 2, 2, 2, 1, 1, 2, 42, 22), [('Undefined', 0, 0)], 89.6, 0, 179.2)
((24, 2, 2, 2, 1, 2, 2, 1, 42, 22), [('Undefined', 0, 0)], 89.6, 0, 179.2)
((24, 2, 2, 2, 1, 2, 1, 2, 42, 22), [('Undefined', 0, 0)], 89.6, 0, 179.2)
((24, 2, 2, 2, 1, 1, 2, 2, 42, 22), [('Undefined', 0, 0)], 89.6, 0, 179.2)
((24, 2, 2, 1, 2, 2, 2, 1, 42, 22), [('Undefined', 0, 0)], 89.6, 0, 179.2)
((24, 2, 2, 1, 2, 2, 1, 2, 42, 22), [('Undefined', 0, 0)], 89.6, 0, 179.2)
