n = 924
m = 67
q = 16
ρ = 0.41
format = ((b1, b2, b3, b4, b5, b6, b7, b8, k1, k2), [mq estimator results], bit complexity quantum, memory, bit complexity classical)

((25, 2, 2, 2, 2, 2, 2, 1, 6, 23), [('Undefined', 0, 0)], 58.0, 0, 116.0)
((25, 2, 2, 2, 2, 2, 1, 2, 6, 23), [('Undefined', 0, 0)], 58.0, 0, 116.0)
((25, 2, 2, 2, 2, 1, 2, 2, 6, 23), [('Undefined', 0, 0)], 58.0, 0, 116.0)
((25, 2, 2, 2, 1, 2, 2, 2, 6, 23), [('Undefined', 0, 0)], 58.0, 0, 116.0)
((25, 2, 2, 1, 2, 2, 2, 2, 6, 23), [('Undefined', 0, 0)], 58.0, 0, 116.0)
((25, 2, 1, 2, 2, 2, 2, 2, 6, 23), [('Undefined', 0, 0)], 58.0, 0, 116.0)
((25, 1, 2, 2, 2, 2, 2, 2, 6, 23), [('Undefined', 0, 0)], 58.0, 0, 116.0)
((24, 2, 2, 2, 2, 2, 2, 2, 7, 22), [('Undefined', 0, 0)], 58.0, 0, 116.0)
((24, 2, 2, 2, 2, 2, 2, 2, 6, 23), [('Undefined', 0, 0)], 58.0, 0, 116.0)
((24, 2, 2, 2, 2, 2, 2, 2, 5, 24), [('Undefined', 0, 0)], 58.0, 0, 116.0)
