n = 924
m = 67
q = 16
ρ = 0.41
format = ((b1, b2, b3, b4, b5, b6, k1, k2), [mq estimator results], bit complexity quantum, memory, bit complexity classical)

((26, 2, 2, 2, 2, 2, 7, 24), [('Undefined', 0, 0), ('Undefined', 0, 0), ('Undefined', 0, 0), ('Undefined', 0, 0), ('Undefined', 0, 0), ('Undefined', 0, 0)], 62.0, 0, 124.0)
((23, 6, 6, 6, 6, 1, 4, 15), [('Crossbred', 24.220863400303415, 16.26326920037266), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Undefined', 0, 0)], 62.2, 12.2, 100.2)
((23, 6, 6, 6, 5, 2, 4, 15), [('Crossbred', 24.220863400303415, 16.26326920037266), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0)], 62.2, 12.2, 100.2)
((23, 6, 6, 6, 4, 3, 4, 15), [('Crossbred', 24.220863400303415, 16.26326920037266), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('ExhaustiveSearch', 18.0, 8.0), ('HybridF5', 13.584962500721156, 6.754887502163468)], 62.2, 12.2, 100.2)
((23, 6, 6, 6, 3, 4, 4, 15), [('Crossbred', 24.220863400303415, 16.26326920037266), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('HybridF5', 13.584962500721156, 6.754887502163468), ('ExhaustiveSearch', 18.0, 8.0)], 62.2, 12.2, 100.2)
((23, 6, 6, 6, 2, 5, 4, 15), [('Crossbred', 24.220863400303415, 16.26326920037266), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Undefined', 0, 0), ('Crossbred', 22.16320593714337, 14.683213954934427)], 62.2, 12.2, 100.2)
((23, 6, 6, 6, 1, 6, 4, 15), [('Crossbred', 24.220863400303415, 16.26326920037266), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Undefined', 0, 0), ('Crossbred', 24.22877154567985, 12.194756854422248)], 62.2, 12.2, 100.2)
((23, 6, 6, 5, 6, 2, 4, 15), [('Crossbred', 24.220863400303415, 16.26326920037266), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Undefined', 0, 0)], 62.2, 12.2, 100.2)
((23, 6, 6, 5, 5, 3, 4, 15), [('Crossbred', 24.220863400303415, 16.26326920037266), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Crossbred', 22.16320593714337, 14.683213954934427), ('HybridF5', 13.584962500721156, 6.754887502163468)], 62.2, 12.2, 100.2)
((23, 6, 6, 5, 4, 4, 4, 15), [('Crossbred', 24.220863400303415, 16.26326920037266), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('ExhaustiveSearch', 18.0, 8.0), ('ExhaustiveSearch', 18.0, 8.0)], 62.2, 12.2, 100.2)
