n = 924
m = 67
q = 16
ρ = 0.41
format = ((b1, b2, b3, b4, k1, k2), [mq estimator results], (bit complexity quantum, memory, bit complexity classical))

((28, 2, 2, 2, 7, 26), [('Undefined', 0, 0), ('Undefined', 0, 0), ('Undefined', 0, 0), ('Undefined', 0, 0)], 66.0, 0, 132.0)
((24, 9, 9, 8, 5, 12), [('Crossbred', 30.426985168008393, 18.86211668857203), ('Crossbred', 32.72513644947766, 18.911626050994496), ('Crossbred', 32.72513644947766, 18.911626050994496), ('Crossbred', 29.74351932842238, 18.310080192577903)], 66.7, 18.9, 100.7)
((24, 9, 8, 9, 5, 12), [('Crossbred', 30.426985168008393, 18.86211668857203), ('Crossbred', 32.72513644947766, 18.911626050994496), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 32.72513644947766, 18.911626050994496)], 66.7, 18.9, 100.7)
((24, 8, 9, 9, 5, 12), [('Crossbred', 30.426985168008393, 18.86211668857203), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 32.72513644947766, 18.911626050994496), ('Crossbred', 32.72513644947766, 18.911626050994496)], 66.7, 18.9, 100.7)
((25, 8, 8, 7, 6, 13), [('Crossbred', 28.581838484624086, 19.178606500965376), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 26.56894093086352, 17.4971657451784)], 67.7, 18.3, 105.7)
((25, 8, 7, 8, 6, 13), [('Crossbred', 28.581838484624086, 19.178606500965376), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 29.74351932842238, 18.310080192577903)], 67.7, 18.3, 105.7)
((25, 7, 8, 8, 6, 13), [('Crossbred', 28.581838484624086, 19.178606500965376), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 29.74351932842238, 18.310080192577903)], 67.7, 18.3, 105.7)
((24, 8, 8, 8, 7, 12), [('Crossbred', 28.581838484624086, 19.178606500965376), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 29.74351932842238, 18.310080192577903)], 67.7, 18.3, 105.7)
((24, 8, 8, 8, 6, 13), [('Crossbred', 27.55749812108874, 18.734246533088132), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 29.74351932842238, 18.310080192577903)], 67.7, 18.3, 105.7)
((24, 8, 8, 8, 5, 14), [('Crossbred', 26.536962533031573, 17.990923846940596), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 29.74351932842238, 18.310080192577903), ('Crossbred', 29.74351932842238, 18.310080192577903)], 67.7, 18.3, 105.7)
