n = 924
m = 67
q = 16
ρ = 0.41
format = ((b1, b2, b3, b4, b5, b6, k1, k2), [mq estimator results], bit complexity classical, memory, bit complexity quantum)

((23, 7, 7, 7, 4, 1, 5, 13), [('Crossbred', 26.534511429455247, 17.990923846940596), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('ExhaustiveSearch', 18.0, 8.0), ('Undefined', 0, 0)], 98.6, 17.5, 62.6)
((23, 7, 7, 7, 4, 1, 4, 14), [('Crossbred', 25.424220857874236, 17.17309150810748), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('ExhaustiveSearch', 18.0, 8.0), ('Undefined', 0, 0)], 98.6, 17.5, 62.6)
((23, 7, 7, 7, 3, 2, 5, 13), [('Crossbred', 26.534511429455247, 17.990923846940596), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('HybridF5', 13.584962500721156, 6.754887502163468), ('Undefined', 0, 0)], 98.6, 17.5, 62.6)
((23, 7, 7, 7, 3, 2, 4, 14), [('Crossbred', 25.424220857874236, 17.17309150810748), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('HybridF5', 13.584962500721156, 6.754887502163468), ('Undefined', 0, 0)], 98.6, 17.5, 62.6)
((23, 7, 7, 7, 2, 3, 5, 13), [('Crossbred', 26.534511429455247, 17.990923846940596), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Undefined', 0, 0), ('HybridF5', 13.584962500721156, 6.754887502163468)], 98.6, 17.5, 62.6)
((23, 7, 7, 7, 2, 3, 4, 14), [('Crossbred', 25.424220857874236, 17.17309150810748), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Undefined', 0, 0), ('HybridF5', 13.584962500721156, 6.754887502163468)], 98.6, 17.5, 62.6)
((23, 7, 7, 7, 1, 4, 5, 13), [('Crossbred', 26.534511429455247, 17.990923846940596), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Undefined', 0, 0), ('ExhaustiveSearch', 18.0, 8.0)], 98.6, 17.5, 62.6)
((23, 7, 7, 7, 1, 4, 4, 14), [('Crossbred', 25.424220857874236, 17.17309150810748), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Undefined', 0, 0), ('ExhaustiveSearch', 18.0, 8.0)], 98.6, 17.5, 62.6)
((23, 7, 7, 6, 5, 1, 5, 13), [('Crossbred', 26.534511429455247, 17.990923846940596), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0)], 98.6, 17.5, 62.6)
((23, 7, 7, 6, 5, 1, 4, 14), [('Crossbred', 25.424220857874236, 17.17309150810748), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 26.56894093086352, 17.4971657451784), ('Crossbred', 24.22877154567985, 12.194756854422248), ('Crossbred', 22.16320593714337, 14.683213954934427), ('Undefined', 0, 0)], 98.6, 17.5, 62.6)
