n = 1240
m = 140
q = 7
ρ = 0.13
format = ((b1, b2, b3, b4, b5, b6, k1, k2), [mq estimator results], bit complexity classical, memory, bit complexity quantum)

((26, 6, 6, 6, 6, 5, 67, 18), [('Crossbred', 19.037486981160278, 12.01227534485612), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243)], 257.0, 12.0, 138.0)
((26, 6, 6, 6, 5, 6, 67, 18), [('Crossbred', 19.037486981160278, 12.01227534485612), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624)], 257.0, 12.0, 138.0)
((26, 6, 6, 5, 6, 6, 67, 18), [('Crossbred', 19.037486981160278, 12.01227534485612), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624)], 257.0, 12.0, 138.0)
((26, 6, 5, 6, 6, 6, 67, 18), [('Crossbred', 19.037486981160278, 12.01227534485612), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624)], 257.0, 12.0, 138.0)
((26, 5, 6, 6, 6, 6, 67, 18), [('Crossbred', 19.037486981160278, 12.01227534485612), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624)], 257.0, 12.0, 138.0)
((26, 6, 6, 6, 6, 5, 68, 17), [('Crossbred', 19.657107994664404, 12.638209626633582), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243)], 257.7, 12.6, 138.7)
((26, 6, 6, 6, 5, 6, 68, 17), [('Crossbred', 19.657107994664404, 12.638209626633582), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624)], 257.7, 12.6, 138.7)
((26, 6, 6, 5, 6, 6, 68, 17), [('Crossbred', 19.657107994664404, 12.638209626633582), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624)], 257.7, 12.6, 138.7)
((26, 6, 5, 6, 6, 6, 68, 17), [('Crossbred', 19.657107994664404, 12.638209626633582), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624)], 257.7, 12.6, 138.7)
((26, 5, 6, 6, 6, 6, 68, 17), [('Crossbred', 19.657107994664404, 12.638209626633582), ('ExhaustiveSearch', 15.741309375262933, 8.550746785383243), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624), ('ExhaustiveSearch', 18.703484353529756, 9.339850002884624)], 257.7, 12.6, 138.7)
