n = 1240
m = 140
q = 7
ρ = 0.13
format = ((b1, b2, b3, b4, b5, b6, b7, b8, k1, k2), [mq estimator results], bit complexity quantum, memory, bit complexity classical)

((25, 4, 4, 4, 4, 4, 4, 4, 66, 21), [('ExhaustiveSearch', 12.718631157468542, 12.092757140919852)], 134.5, 12.1, 256.3)
((25, 4, 4, 4, 4, 4, 4, 3, 67, 21), [('ExhaustiveSearch', 12.718631157468542, 12.108524456778168)], 135.89999999999998, 12.1, 259.09999999999997)
((25, 4, 4, 4, 4, 4, 4, 3, 66, 22), [('ExhaustiveSearch', 12.718631157468542, 7.584962500721156)], 135.89999999999998, 7.6, 259.09999999999997)
((25, 4, 4, 4, 4, 4, 3, 4, 67, 21), [('ExhaustiveSearch', 12.718631157468542, 12.108524456778168)], 135.89999999999998, 12.1, 259.09999999999997)
((25, 4, 4, 4, 4, 4, 3, 4, 66, 22), [('ExhaustiveSearch', 12.718631157468542, 7.584962500721156)], 135.89999999999998, 7.6, 259.09999999999997)
((25, 4, 4, 4, 4, 3, 4, 4, 67, 21), [('ExhaustiveSearch', 12.718631157468542, 12.108524456778168)], 135.89999999999998, 12.1, 259.09999999999997)
((25, 4, 4, 4, 4, 3, 4, 4, 66, 22), [('ExhaustiveSearch', 12.718631157468542, 7.584962500721156)], 135.89999999999998, 7.6, 259.09999999999997)
((25, 4, 4, 4, 3, 4, 4, 4, 67, 21), [('ExhaustiveSearch', 12.718631157468542, 12.108524456778168)], 135.89999999999998, 12.1, 259.09999999999997)
((25, 4, 4, 4, 3, 4, 4, 4, 66, 22), [('ExhaustiveSearch', 12.718631157468542, 7.584962500721156)], 135.89999999999998, 7.6, 259.09999999999997)
((25, 4, 4, 3, 4, 4, 4, 4, 67, 21), [('ExhaustiveSearch', 12.718631157468542, 12.108524456778168)], 135.89999999999998, 12.1, 259.09999999999997)
